title,price,article_link,img_url,description,scraped_date,date_published
Datteln,0.79,https://www.aldi-nord.de/angebote/aktion-mo-17-04/datteln-1022582-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Getrocknet; Tunesien
",2023-04-19,2023-04-14
Tafeläpfel,1.39,https://www.aldi-nord.de/angebote/aktion-mo-17-04/tafelaepfel-6110-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Sorte: Golden Delicious; Klasse 1; Deutschland, Italien, Österreich
",2023-04-19,2023-04-14
Tafeltrauben hell,1.29,https://www.aldi-nord.de/angebote/aktion-mo-17-04/tafeltrauben-hell-6236-1-1.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Kernlos; Klasse 1; Chile, Indien, Namibia, Peru, Republik Südafrika
",2023-04-19,2023-04-14
Tafelbirnen,2.22,https://www.aldi-nord.de/angebote/aktion-mo-17-04/tafelbirnen-6295-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Lose Ware; Sorte: Abate Fetel; Klasse 1; Chile, Republik Südafrika
",2023-04-19,2023-04-14
Avocado,1.11,https://www.aldi-nord.de/angebote/aktion-mo-17-04/avocado-6279-2-2.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Klasse 1; Kolumbien, Peru, Republik Südafrika
",2023-04-19,2023-04-14
Bio-Gurke,0.79,https://www.aldi-nord.de/angebote/aktion-mo-17-04/bio-gurke-7024-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Klasse 2; Spanien; kontrolliert ökologische Erzeugung
",2023-04-19,2023-04-14
Zucchini,0.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/zucchini-6194-1-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Lose Ware; Klasse 1; Spanien
",2023-04-19,2023-04-14
Mini-Romana-Salatherzen,1.11,https://www.aldi-nord.de/angebote/aktion-mo-17-04/mini-romana-salatherzen-6149-1-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Klasse 1; Spanien
",2023-04-19,2023-04-14
Mini-Cherrystrauchtomaten,1.49,https://www.aldi-nord.de/angebote/aktion-mo-17-04/mini-cherrystrauchtomaten-1022332-1-1.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Klasse 1; Niederlande, Portugal, Spanien, Tunesien
",2023-04-19,2023-04-14
Spargel,3.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/spargel-6261-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Klasse 1; Deutschland
",2023-04-19,2023-04-14
