id,title,price,weight,description,article_link,img_link,extra_details,date_published,date_expires,scraped_date
0,"Coca-Cola, Fanta oder Sprite",9.49,12x1l PET-Flasche,"teilw. koffeinhaltig, + 3,30 Pfand, 12x1l PET-Flasche, (1l=0,79)",placeholder,https://offer-images.api.edeka/15fe64f1-7dce-49b5-992d-05e217ac888e_CCR_CCZ_FAOR_S12x1L_MW_PET_CMYK.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
1,Dairygold Butter oder Streichzart**,1.69,250g Stück/Becher,"**versch. Sorten, 250g Stück/Becher, (1kg=6,76)",placeholder,https://offer-images.api.edeka/a3a22176-7dd3-44f3-809e-0b074c22ad25_5025878004849_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
2,Dallmayr Classic,4.99,500g Packung,"Kaffeegenuss mit vollem Aroma, gemahlen, versch. Sorten, 500g Packung, (1kg=9,98)",placeholder,https://offer-images.api.edeka/9e0b62d3-59b0-4bf3-9689-64ca64a3053c_4008167023609_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
3,Ferrero Nutella,1.79,450+50g Glas,"Nuss-Nougat-Creme, 450+50g Glas, (1kg=3,58)",placeholder,https://offer-images.api.edeka/88f7839f-2ce1-4078-b595-758ff8cfa539_4008400402222_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
4,Iglo Schlemmerfilet oder Filegro,2.99,220/250/380g Packung,"feine Fischfilets, versch. Sorten, 220/250/380g Packung, (1kg=13,59/11,96/7,87)",placeholder,https://offer-images.api.edeka/fc046cf1-5c61-43f4-a724-8a7d1d269141_4250241207812_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
5,"Alpro Soya, Skyr-Style oder Absolutely",1.49,350/400g Becher,"100% pflanzlich, versch. Sorten, 350/400g Becher, (1kg=4,26/3,73)",placeholder,https://offer-images.api.edeka/2492b603-c2ee-411d-8e0c-5447191f2165_5411188137993_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
6,Alpro Soya- oder Haferdrink,1.49,1l Packung,"100% pflanzlich, versch. Sorten, 1l Packung",placeholder,https://offer-images.api.edeka/f19cb71c-5fe5-4b38-b006-99a939fd0d15_5411188135005_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
7,Bauer Joghurt,0.59,250g Becher,"versch. Sorten und Fettstufen, 250g Becher, (1kg=2,36)",placeholder,https://offer-images.api.edeka/0f28719c-0ac0-40b5-a831-a19aa91594b0_4002334113032_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
8,Bioland Krustenbrötchen,0.37,Stück,"Bio-Weizenbrötchen mit knuspriger Kruste und einem Weizenvorteig, für ein ausgewogenes Aroma, Stück",placeholder,https://offer-images.api.edeka/0c52e35b-0d9e-416d-95c5-4ba6270fc597_4311501765180_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
9,Bioland Mehrkornkrüstchen,0.45,Stück,"saatenreiches Bio-Mehrkornbrötchen, mit, kernig-kräftiger Note und Mohn-Sesam-Topping, Stück",placeholder,https://offer-images.api.edeka/cb8a52bf-9261-445d-aea4-d2763b0251d0_BO_Bioland_Mehrkornkruestchen_BIO_Bioland_Broetchen_BakeOFF.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
10,Bonduelle Goldmais,0.99,300g Dose,"300g Dose, (1kg=3,47)",placeholder,https://offer-images.api.edeka/27b7e654-a703-443c-8632-c39a75eb683d_3083681102499_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
11,Bresso,1.11,120/150g Packung/Becher,"Frischkäsezubereitung, versch. Sorten und Fettstufen, 120/150g Packung/Becher, (1kg=9,25/7,40)",placeholder,https://offer-images.api.edeka/1f11bc55-2d39-483c-b377-f40ac7f03f7c_4000400008053_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
12,Calidris 28 Black,0.88,250ml DPG-Dose,"Energy-Drink, koffeinhaltig, versch. Sorten, + 0,25 Pfand, 250ml DPG-Dose, (1l=3,52)",placeholder,https://offer-images.api.edeka/e3eaa830-992d-499b-9ef0-6fffaf163200_4260160950010_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
13,Colgate Zahncreme,1.49,75ml Tube,"Sensation oder Max, versch. Varianten, 75ml Tube, (1l=19,87)",placeholder,https://offer-images.api.edeka/084517e9-a3ba-4134-8984-093846085571_8718951312432_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
