title,price,article_link,img_url,description,scraped_date,date_expires
Valensina Saft,"1,11",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8654202,https://img.rewe-static.de/REWE_TZ16_2023/8654202/34137633-8_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Wagner Die Backfrische Mozzarella,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#878564,https://img.rewe-static.de/REWE_TZ16_2023/0878564/26347635-39_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Wagner  Big City Pizza Budapest,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2670547,https://img.rewe-static.de/REWE_TZ16_2023/2670547/29010095-23_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Schöfferhofer  Weizen,"3,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#119361,https://img.rewe-static.de/KLEIN16_2023/0119361/26490776-15_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Bauer Joghurt mild,"0,55",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2559102,https://img.rewe-static.de/KLEIN16_2023/2559102/1499960-13_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Kinder Riegel,"1,49",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#4763068,https://img.rewe-static.de/KLEIN16_2023/4763068/693640-82_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Bananen,"1,79",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#1028377,https://img.rewe-static.de/KLEIN16_2023/1028377/32416351-2_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Frische Hähnchen-Grillplatte,"4,44",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7953201,https://img.rewe-static.de/KLEIN16_2023/7953201/35727286-7_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Spargel-Frühkartoffeln,"1,79",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7953842,https://img.rewe-static.de/KLEIN16_2023/7953842/33066527-3_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Schweine-Rückensteaks,"2,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2345396,https://img.rewe-static.de/KLEIN16_2023/2345396/23879240-16_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Schweine-Nackensteaks,"2,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2346651,https://img.rewe-static.de/KLEIN16_2023/2346651/28826574-6_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Grüner Spargel,"3,33",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#722626,https://img.rewe-static.de/KLEIN16_2023/0722626/4732140-14_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Meggle  Kräuter-Butter,"1,69",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8292013,https://img.rewe-static.de/KLEIN16_2023/8292013/29167926-7_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Meggle Kräuter-Butter,"1,69",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#4529464,https://img.rewe-static.de/KLEIN16_2023/4529464/31257491-2_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
